,번호,이름,수능점수,내신점수,1학년점수,1순위,2순위,3순위,4순위,5순위,6순위,7순위,8순위,9순위,10순위,가중Score
404,405,텝뫟퍾,54,61,51,융합기술공학부(IT융합기전공학),소프트웨어공학과,전자공학부,신소재공학부(금속시스템공학),항공우주공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(토목공학),기계공학과,신소재공학부(전자재료공학),산업정보시스템공학과,53.099999999999994
405,406,샛쀼녧,73,71,94,화학공학부,기계설계공학부(나노바이오기계시스템공학),도시공학과,융합기술공학부(IT융합기전공학),융합기술공학부(IT응용시스템공학),소프트웨어공학과,신소재공학부(금속시스템공학),고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),전자공학부,79.3
406,407,탿릤칵,59,82,96,소프트웨어공학과,기계설계공학부(기계설계공학),항공우주공학과,컴퓨터인공지능학부,양자시스템공학과,융합기술공학부(IT응용시스템공학),도시공학과,토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),산업정보시스템공학과,70.1
407,408,쎴햦움,60,67,83,소프트웨어공학과,컴퓨터인공지능학부,건축공학과,기계시스템공학부,고분자.나노공학과,신소재공학부(정보소재공학),도시공학과,토목/환경/자원.에너지공학부(자원.에너지공학),유기소재섬유공학과,전기공학과,66.9
408,409,쉓꽻쾌,76,89,67,전자공학부,화학공학부,고분자.나노공학과,융합기술공학부(IT응용시스템공학),소프트웨어공학과,토목/환경/자원.에너지공학부(토목공학),기계공학과,토목/환경/자원.에너지공학부(자원.에너지공학),바이오메디컬공학부,전기공학과,73.3
409,410,릏뭹춧,72,74,34,전자공학부,신소재공학부(정보소재공학),기계시스템공학부,바이오메디컬공학부,항공우주공학과,기계설계공학부(나노바이오기계시스템공학),신소재공학부(금속시스템공학),도시공학과,융합기술공학부(IT융합기전공학),신소재공학부(전자재료공학),60.599999999999994
410,411,짩픇댞,64,59,10,컴퓨터인공지능학부,유기소재섬유공학과,양자시스템공학과,화학공학부,바이오메디컬공학부,융합기술공학부(IT융합기전공학),전자공학부,산업정보시스템공학과,신소재공학부(전자재료공학),신소재공학부(금속시스템공학),47.8
411,412,셍헂퀈,71,65,35,기계시스템공학부,항공우주공학과,전기공학과,토목/환경/자원.에너지공학부(토목공학),신소재공학부(전자재료공학),유기소재섬유공학과,바이오메디컬공학부,신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),컴퓨터인공지능학부,60.199999999999996
412,413,븄믈쳡,69,35,24,바이오메디컬공학부,전기공학과,소프트웨어공학과,융합기술공학부(IT융합기전공학),산업정보시스템공학과,고분자.나노공학과,도시공학과,기계설계공학부(나노바이오기계시스템공학),기계공학과,유기소재섬유공학과,55.5
413,414,륔꼃묬,71,57,37,전자공학부,신소재공학부(전자재료공학),융합기술공학부(IT응용시스템공학),기계설계공학부(나노바이오기계시스템공학),신소재공학부(정보소재공학),산업정보시스템공학과,토목/환경/자원.에너지공학부(토목공학),전기공학과,도시공학과,바이오메디컬공학부,60.8
414,415,뺩볯뵺,61,88,69,기계시스템공학부,바이오메디컬공학부,고분자.나노공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(환경공학),항공우주공학과,전자공학부,기계설계공학부(기계설계공학),양자시스템공학과,전기공학과,63.39999999999999
415,416,괇틙흣,57,77,45,전자공학부,유기소재섬유공학과,소프트웨어공학과,양자시스템공학과,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(기계설계공학),산업정보시스템공학과,신소재공학부(금속시스템공학),고분자.나노공학과,53.4
416,417,킨콮빖,78,70,68,전자공학부,토목/환경/자원.에너지공학부(토목공학),컴퓨터인공지능학부,토목/환경/자원.에너지공학부(자원.에너지공학),도시공학과,신소재공학부(금속시스템공학),신소재공학부(전자재료공학),유기소재섬유공학과,기계설계공학부(나노바이오기계시스템공학),기계시스템공학부,75.0
417,418,쎹켧뱮,84,49,80,전자공학부,유기소재섬유공학과,항공우주공학과,양자시스템공학과,토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),기계설계공학부(기계설계공학),건축공학과,신소재공학부(금속시스템공학),산업정보시스템공학과,82.8
418,419,섷셒맖,73,74,100,전기공학과,바이오메디컬공학부,기계시스템공학부,양자시스템공학과,융합기술공학부(IT융합기전공학),건축공학과,소프트웨어공학과,고분자.나노공학과,전자공학부,토목/환경/자원.에너지공학부(자원.에너지공학),81.1
419,420,큠린캕,47,100,96,신소재공학부(전자재료공학),융합기술공학부(IT융합기전공학),화학공학부,기계공학과,고분자.나노공학과,신소재공학부(정보소재공학),항공우주공학과,토목/환경/자원.에너지공학부(토목공학),토목/환경/자원.에너지공학부(환경공학),컴퓨터인공지능학부,61.699999999999996
420,421,략릍꾫,69,70,95,컴퓨터인공지능학부,항공우주공학과,신소재공학부(금속시스템공학),건축공학과,소프트웨어공학과,토목/환경/자원.에너지공학부(환경공학),바이오메디컬공학부,전기공학과,융합기술공학부(IT융합기전공학),고분자.나노공학과,76.8
421,422,궫맥뛠,62,56,57,토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),도시공학과,항공우주공학과,신소재공학부(금속시스템공학),기계시스템공학부,고분자.나노공학과,토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT융합기전공학),소프트웨어공학과,60.5
422,423,줐쏓믜,63,80,95,기계시스템공학부,토목/환경/자원.에너지공학부(환경공학),토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT융합기전공학),전기공학과,고분자.나노공학과,산업정보시스템공학과,건축공학과,화학공학부,소프트웨어공학과,72.6
423,424,촩캜논,62,91,22,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(토목공학),산업정보시스템공학과,전기공학과,유기소재섬유공학과,기계시스템공학부,기계설계공학부(나노바이오기계시스템공학),소프트웨어공학과,화학공학부,신소재공학부(금속시스템공학),50.0
424,425,쬫놁둱,74,62,38,컴퓨터인공지능학부,신소재공학부(전자재료공학),신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),바이오메디컬공학부,융합기술공학부(IT응용시스템공학),소프트웨어공학과,신소재공학부(정보소재공학),기계시스템공학부,토목/환경/자원.에너지공학부(환경공학),63.199999999999996
425,426,걸댿쭟,73,69,55,전자공학부,기계시스템공학부,토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(토목공학),화학공학부,산업정보시스템공학과,신소재공학부(정보소재공학),유기소재섬유공학과,양자시스템공학과,67.6
426,427,쩝뵓햤,63,74,40,신소재공학부(정보소재공학),기계시스템공학부,바이오메디컬공학부,산업정보시스템공학과,소프트웨어공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(토목공학),신소재공학부(금속시스템공학),기계공학과,56.099999999999994
427,428,읟럟싄,71,59,73,컴퓨터인공지능학부,양자시스템공학과,도시공학과,융합기술공학부(IT응용시스템공학),전기공학과,전자공학부,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(자원.에너지공학),건축공학과,화학공학부,71.6
428,429,돃폎뼦,64,76,61,신소재공학부(금속시스템공학),항공우주공학과,양자시스템공학과,소프트웨어공학과,전기공학과,도시공학과,토목/환경/자원.에너지공학부(토목공학),신소재공학부(정보소재공학),바이오메디컬공학부,토목/환경/자원.에너지공학부(자원.에너지공학),63.099999999999994
429,430,뵵덍쀕,62,77,48,전자공학부,화학공학부,산업정보시스템공학과,유기소재섬유공학과,토목/환경/자원.에너지공학부(토목공학),기계설계공학부(나노바이오기계시스템공학),도시공학과,융합기술공학부(IT융합기전공학),융합기술공학부(IT응용시스템공학),소프트웨어공학과,57.8
430,431,쫫뚧괯,64,74,63,소프트웨어공학과,산업정보시스템공학과,컴퓨터인공지능학부,기계시스템공학부,융합기술공학부(IT융합기전공학),바이오메디컬공학부,전기공학과,도시공학과,기계설계공학부(나노바이오기계시스템공학),신소재공학부(전자재료공학),63.699999999999996
431,432,짅룼폱,76,65,96,컴퓨터인공지능학부,소프트웨어공학과,항공우주공학과,도시공학과,융합기술공학부(IT융합기전공학),기계설계공학부(나노바이오기계시스템공학),신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(환경공학),기계시스템공학부,기계설계공학부(기계설계공학),82.0
432,433,쩧톤맍,60,71,71,전자공학부,바이오메디컬공학부,전기공학과,유기소재섬유공학과,기계공학과,컴퓨터인공지능학부,건축공학과,도시공학과,신소재공학부(전자재료공학),소프트웨어공학과,63.3
433,434,븮잠곧,57,100,67,전자공학부,화학공학부,바이오메디컬공학부,융합기술공학부(IT융합기전공학),건축공학과,신소재공학부(금속시스템공학),고분자.나노공학과,소프트웨어공학과,신소재공학부(정보소재공학),항공우주공학과,60.0
434,435,밞귱넾,59,71,35,기계시스템공학부,바이오메디컬공학부,고분자.나노공학과,융합기술공학부(IT응용시스템공학),양자시스템공학과,화학공학부,기계공학과,산업정보시스템공학과,토목/환경/자원.에너지공학부(자원.에너지공학),소프트웨어공학과,51.8
435,436,췖찹벸,64,83,100,화학공학부,바이오메디컬공학부,기계설계공학부(기계설계공학),기계설계공학부(나노바이오기계시스템공학),소프트웨어공학과,유기소재섬유공학과,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT응용시스템공학),고분자.나노공학과,74.8
436,437,햲댫쎒,67,87,94,화학공학부,도시공학과,전자공학부,기계공학과,건축공학과,유기소재섬유공학과,양자시스템공학과,고분자.나노공학과,기계시스템공학부,소프트웨어공학과,75.1
437,438,앛귆랫,62,73,54,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT응용시스템공학),유기소재섬유공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(토목공학),건축공학과,양자시스템공학과,신소재공학부(전자재료공학),도시공학과,59.599999999999994
438,439,쟗굙흾,75,81,74,컴퓨터인공지능학부,신소재공학부(정보소재공학),유기소재섬유공학과,전기공학과,토목/환경/자원.에너지공학부(자원.에너지공학),토목/환경/자원.에너지공학부(토목공학),양자시스템공학과,기계시스템공학부,바이오메디컬공학부,건축공학과,74.7
439,440,욽깵칡,73,88,49,전기공학과,융합기술공학부(IT융합기전공학),신소재공학부(정보소재공학),유기소재섬유공학과,전자공학부,소프트웨어공학과,고분자.나노공학과,기계공학과,기계시스템공학부,산업정보시스템공학과,65.8
440,441,볇뢡쟏,72,88,87,화학공학부,항공우주공학과,기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,산업정보시스템공학과,유기소재섬유공학과,융합기술공학부(IT응용시스템공학),기계공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(환경공학),76.5
441,442,줧멱줎,65,61,55,전자공학부,융합기술공학부(IT융합기전공학),기계공학과,도시공학과,신소재공학부(금속시스템공학),바이오메디컬공학부,건축공학과,융합기술공학부(IT응용시스템공학),유기소재섬유공학과,신소재공학부(전자재료공학),62.0
442,443,땶롸샮,95,66,65,컴퓨터인공지능학부,기계시스템공학부,항공우주공학과,전기공학과,기계설계공학부(기계설계공학),신소재공학부(전자재료공학),건축공학과,토목/환경/자원.에너지공학부(자원.에너지공학),양자시스템공학과,신소재공학부(정보소재공학),86.0
443,444,뒩뾪썼,77,67,84,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(토목공학),도시공학과,토목/환경/자원.에너지공학부(환경공학),유기소재섬유공학과,전기공학과,항공우주공학과,전자공학부,신소재공학부(금속시스템공학),고분자.나노공학과,79.1
444,445,뺚뚲쳮,87,89,36,기계공학과,바이오메디컬공학부,기계시스템공학부,유기소재섬유공학과,고분자.나노공학과,기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,전자공학부,융합기술공학부(IT응용시스템공학),기계설계공학부(기계설계공학),71.7
445,446,뜂퓛퐘,77,56,62,양자시스템공학과,도시공학과,기계시스템공학부,기계설계공학부(나노바이오기계시스템공학),전자공학부,바이오메디컬공학부,항공우주공학과,신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(전자재료공학),72.5
446,447,쎄맅절,66,62,100,컴퓨터인공지능학부,양자시스템공학과,토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(전자재료공학),전자공학부,고분자.나노공학과,기계공학과,융합기술공학부(IT융합기전공학),신소재공학부(정보소재공학),기계시스템공학부,76.19999999999999
447,448,셾뱞믿,69,64,39,전자공학부,신소재공학부(정보소재공학),기계공학과,컴퓨터인공지능학부,신소재공학부(금속시스템공학),항공우주공학과,화학공학부,토목/환경/자원.에너지공학부(환경공학),기계시스템공학부,융합기술공학부(IT융합기전공학),60.0
448,449,탅휦첣,60,60,66,기계시스템공학부,건축공학과,신소재공학부(금속시스템공학),기계공학과,양자시스템공학과,항공우주공학과,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT응용시스템공학),산업정보시스템공학과,기계설계공학부(나노바이오기계시스템공학),61.8
449,450,도뛛꾾,66,99,96,컴퓨터인공지능학부,신소재공학부(정보소재공학),기계설계공학부(기계설계공학),도시공학과,신소재공학부(금속시스템공학),소프트웨어공학과,기계설계공학부(나노바이오기계시스템공학),기계공학과,양자시스템공학과,전자공학부,75.0
450,451,돒쉨쭜,62,77,72,신소재공학부(정보소재공학),산업정보시스템공학과,신소재공학부(전자재료공학),신소재공학부(금속시스템공학),소프트웨어공학과,유기소재섬유공학과,건축공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT융합기전공학),융합기술공학부(IT응용시스템공학),65.0
451,452,얬췔뛗,59,49,78,기계공학과,융합기술공학부(IT융합기전공학),소프트웨어공학과,산업정보시스템공학과,신소재공학부(전자재료공학),신소재공학부(정보소재공학),기계설계공학부(기계설계공학),유기소재섬유공학과,컴퓨터인공지능학부,건축공학과,64.69999999999999
452,453,곮핾쮘,69,74,72,전기공학과,건축공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(환경공학),토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,바이오메디컬공학부,기계설계공학부(기계설계공학),신소재공학부(금속시스템공학),소프트웨어공학과,69.89999999999999
453,454,헜싈혏,68,73,70,전자공학부,신소재공학부(정보소재공학),항공우주공학과,기계공학과,화학공학부,소프트웨어공학과,융합기술공학부(IT응용시스템공학),유기소재섬유공학과,토목/환경/자원.에너지공학부(환경공학),기계설계공학부(나노바이오기계시스템공학),68.6
454,455,칩딇뼁,74,85,94,컴퓨터인공지능학부,전기공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(토목공학),바이오메디컬공학부,전자공학부,토목/환경/자원.에너지공학부(환경공학),항공우주공학과,기계설계공학부(기계설계공학),도시공학과,80.0
455,456,쬽둧퓐,81,75,68,산업정보시스템공학과,신소재공학부(금속시스템공학),유기소재섬유공학과,양자시스템공학과,융합기술공학부(IT응용시스템공학),기계설계공학부(나노바이오기계시스템공학),소프트웨어공학과,도시공학과,기계시스템공학부,신소재공학부(전자재료공학),77.1
456,457,쟕븐펪,59,73,58,컴퓨터인공지능학부,화학공학부,항공우주공학과,신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(토목공학),산업정보시스템공학과,양자시스템공학과,융합기술공학부(IT융합기전공학),신소재공학부(전자재료공학),신소재공학부(금속시스템공학),58.699999999999996
457,458,귁휦옆,71,63,97,컴퓨터인공지능학부,기계설계공학부(기계설계공학),기계시스템공학부,화학공학부,융합기술공학부(IT응용시스템공학),기계설계공학부(나노바이오기계시스템공학),유기소재섬유공학과,고분자.나노공학과,항공우주공학과,양자시스템공학과,78.8
458,459,눌쒭껆,69,78,89,기계설계공학부(나노바이오기계시스템공학),항공우주공학과,융합기술공학부(IT응용시스템공학),전기공학과,바이오메디컬공학부,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(환경공학),전자공학부,양자시스템공학과,컴퓨터인공지능학부,75.0
459,460,궥멶뾾,74,75,100,전자공학부,기계시스템공학부,기계공학과,바이오메디컬공학부,기계설계공학부(나노바이오기계시스템공학),항공우주공학과,신소재공학부(금속시스템공학),고분자.나노공학과,양자시스템공학과,컴퓨터인공지능학부,81.8
460,461,쭶았핰,62,69,93,화학공학부,기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,도시공학과,컴퓨터인공지능학부,신소재공학부(정보소재공학),산업정보시스템공학과,소프트웨어공학과,토목/환경/자원.에너지공학부(토목공학),기계시스템공학부,71.3
461,462,닮휂뎔,63,80,73,도시공학과,산업정보시스템공학과,전자공학부,유기소재섬유공학과,화학공학부,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(토목공학),기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),항공우주공학과,66.0
462,463,뽧꺕똬,69,50,68,전자공학부,유기소재섬유공학과,기계시스템공학부,건축공학과,신소재공학부(전자재료공학),화학공학부,도시공학과,토목/환경/자원.에너지공학부(환경공학),토목/환경/자원.에너지공학부(자원.에너지공학),전기공학과,68.69999999999999
463,464,녜줝뱦,75,70,95,신소재공학부(전자재료공학),산업정보시스템공학과,기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(토목공학),신소재공학부(정보소재공학),건축공학과,소프트웨어공학과,전기공학과,토목/환경/자원.에너지공학부(환경공학),도시공학과,81.0
464,465,덀쨛꼍,96,81,100,신소재공학부(정보소재공학),컴퓨터인공지능학부,소프트웨어공학과,신소재공학부(금속시스템공학),유기소재섬유공학과,화학공학부,기계공학과,건축공학과,토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT융합기전공학),97.19999999999999
465,466,밁켢쥢,69,65,55,화학공학부,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(환경공학),산업정보시스템공학과,신소재공학부(금속시스템공학),융합기술공학부(IT융합기전공학),양자시스템공학과,건축공학과,토목/환경/자원.에너지공학부(자원.에너지공학),항공우주공학과,64.8
466,467,얔뭆퐫,62,44,72,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,유기소재섬유공학과,융합기술공학부(IT융합기전공학),도시공학과,소프트웨어공학과,고분자.나노공학과,항공우주공학과,65.0
467,468,꼯퓠몬,76,82,51,토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,전자공학부,건축공학과,신소재공학부(전자재료공학),산업정보시스템공학과,전기공학과,신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(토목공학),양자시스템공학과,68.5
468,469,촓퓬쉐,51,66,58,신소재공학부(금속시스템공학),항공우주공학과,산업정보시스템공학과,토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT응용시스템공학),소프트웨어공학과,기계시스템공학부,토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(전자재료공학),양자시스템공학과,53.099999999999994
469,470,뢻끷뻈,80,65,87,고분자.나노공학과,융합기술공학부(IT융합기전공학),건축공학과,토목/환경/자원.에너지공학부(환경공학),화학공학부,컴퓨터인공지능학부,전기공학과,토목/환경/자원.에너지공학부(자원.에너지공학),기계공학과,바이오메디컬공학부,82.1
470,471,폤덹쀒,77,58,30,컴퓨터인공지능학부,소프트웨어공학과,토목/환경/자원.에너지공학부(환경공학),기계공학과,항공우주공학과,신소재공학부(전자재료공학),바이오메디컬공학부,신소재공학부(금속시스템공학),신소재공학부(정보소재공학),양자시스템공학과,62.9
471,472,뾁뺦찬,64,65,74,토목/환경/자원.에너지공학부(토목공학),전자공학부,고분자.나노공학과,화학공학부,융합기술공학부(IT융합기전공학),항공우주공학과,기계설계공학부(나노바이오기계시스템공학),신소재공학부(금속시스템공학),기계시스템공학부,양자시스템공학과,67.0
472,473,엷웭핪,58,74,57,항공우주공학과,신소재공학부(금속시스템공학),전자공학부,고분자.나노공학과,유기소재섬유공학과,토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,바이오메디컬공학부,토목/환경/자원.에너지공학부(환경공학),57.69999999999999
473,474,푛돷똬,76,63,79,화학공학부,신소재공학부(금속시스템공학),산업정보시스템공학과,바이오메디컬공학부,항공우주공학과,토목/환경/자원.에너지공학부(환경공학),소프트웨어공학과,기계시스템공학부,기계공학과,도시공학과,76.89999999999999
474,475,쩈귧옓,63,81,89,전기공학과,유기소재섬유공학과,바이오메디컬공학부,토목/환경/자원.에너지공학부(토목공학),고분자.나노공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),신소재공학부(금속시스템공학),융합기술공학부(IT응용시스템공학),70.8
475,476,울뼉몼,76,68,43,화학공학부,산업정보시스템공학과,기계설계공학부(기계설계공학),전기공학과,기계시스템공학부,신소재공학부(정보소재공학),양자시스템공학과,유기소재섬유공학과,고분자.나노공학과,건축공학과,66.1
476,477,줓섰뚴,87,61,55,기계시스템공학부,유기소재섬유공학과,기계설계공학부(나노바이오기계시스템공학),고분자.나노공학과,양자시스템공학과,신소재공학부(전자재료공학),건축공학과,바이오메디컬공학부,토목/환경/자원.에너지공학부(토목공학),기계공학과,77.4
477,478,겙떂뉃,69,71,66,전자공학부,융합기술공학부(IT융합기전공학),융합기술공학부(IT응용시스템공학),도시공학과,토목/환경/자원.에너지공학부(환경공학),기계시스템공학부,소프트웨어공학과,화학공학부,신소재공학부(정보소재공학),산업정보시스템공학과,68.1
478,479,쐪뿨뛍,62,73,35,기계시스템공학부,건축공학과,토목/환경/자원.에너지공학부(토목공학),양자시스템공학과,소프트웨어공학과,신소재공학부(금속시스템공학),신소재공학부(전자재료공학),전기공학과,융합기술공학부(IT융합기전공학),유기소재섬유공학과,53.9
479,480,뵲꽟쎑,74,100,100,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(토목공학),소프트웨어공학과,신소재공학부(정보소재공학),기계설계공학부(나노바이오기계시스템공학),전자공학부,융합기술공학부(IT응용시스템공학),항공우주공학과,81.8
480,481,엍뾱뽕,53,69,89,컴퓨터인공지능학부,기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(자원.에너지공학),도시공학과,양자시스템공학과,건축공학과,신소재공학부(금속시스템공학),화학공학부,고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),63.8
481,482,즤쨤퍋,76,69,60,융합기술공학부(IT응용시스템공학),기계공학과,도시공학과,신소재공학부(정보소재공학),소프트웨어공학과,신소재공학부(금속시스템공학),고분자.나노공학과,유기소재섬유공학과,산업정보시스템공학과,토목/환경/자원.에너지공학부(환경공학),71.19999999999999
482,483,쪤겴듕,74,69,55,기계시스템공학부,소프트웨어공학과,항공우주공학과,양자시스템공학과,화학공학부,융합기술공학부(IT응용시스템공학),신소재공학부(전자재료공학),건축공학과,전자공학부,도시공학과,68.3
483,484,쪬멾찬,73,82,67,고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),기계설계공학부(나노바이오기계시스템공학),신소재공학부(금속시스템공학),소프트웨어공학과,융합기술공학부(IT응용시스템공학),항공우주공학과,양자시스템공학과,기계시스템공학부,신소재공학부(전자재료공학),71.19999999999999
484,485,쫐맵펪,84,65,69,기계공학과,바이오메디컬공학부,전자공학부,신소재공학부(전자재료공학),고분자.나노공학과,도시공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT융합기전공학),소프트웨어공학과,79.5
485,486,융쓜눜,52,60,100,전자공학부,신소재공학부(전자재료공학),건축공학과,유기소재섬유공학과,산업정보시스템공학과,기계공학과,항공우주공학과,소프트웨어공학과,토목/환경/자원.에너지공학부(토목공학),기계설계공학부(기계설계공학),66.4
486,487,맆곂살,89,69,63,기계공학과,바이오메디컬공학부,신소재공학부(금속시스템공학),융합기술공학부(IT융합기전공학),건축공학과,산업정보시스템공학과,토목/환경/자원.에너지공학부(환경공학),도시공학과,기계설계공학부(나노바이오기계시스템공학),신소재공학부(정보소재공학),81.19999999999999
487,488,켦쟗럥,57,61,77,전자공학부,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT응용시스템공학),융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(환경공학),소프트웨어공학과,신소재공학부(전자재료공학),전기공학과,바이오메디컬공학부,화학공학부,63.0
488,489,킪젱뀦,56,63,84,신소재공학부(정보소재공학),고분자.나노공학과,유기소재섬유공학과,바이오메디컬공학부,기계설계공학부(기계설계공학),신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),컴퓨터인공지능학부,융합기술공학부(IT응용시스템공학),화학공학부,64.39999999999999
489,490,쌉엂꾳,70,71,41,컴퓨터인공지능학부,기계설계공학부(기계설계공학),건축공학과,신소재공학부(정보소재공학),양자시스템공학과,기계설계공학부(나노바이오기계시스템공학),바이오메디컬공학부,유기소재섬유공학과,토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),61.3
490,491,혝윇씿,75,63,76,소프트웨어공학과,항공우주공학과,양자시스템공학과,유기소재섬유공학과,산업정보시스템공학과,신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(토목공학),컴퓨터인공지능학부,융합기술공학부(IT융합기전공학),전기공학과,75.3
491,492,숪휠빳,83,55,99,전기공학과,토목/환경/자원.에너지공학부(토목공학),바이오메디컬공학부,기계설계공학부(기계설계공학),기계설계공학부(나노바이오기계시스템공학),고분자.나노공학과,컴퓨터인공지능학부,융합기술공학부(IT응용시스템공학),신소재공학부(금속시스템공학),신소재공학부(전자재료공학),87.8
492,493,꺄뉨턅,70,86,41,양자시스템공학과,토목/환경/자원.에너지공학부(환경공학),바이오메디컬공학부,융합기술공학부(IT융합기전공학),신소재공학부(전자재료공학),소프트웨어공학과,도시공학과,기계설계공학부(기계설계공학),전기공학과,신소재공학부(정보소재공학),61.3
493,494,근똰푸,75,57,43,전자공학부,토목/환경/자원.에너지공학부(환경공학),기계설계공학부(기계설계공학),산업정보시스템공학과,기계공학과,소프트웨어공학과,고분자.나노공학과,신소재공학부(금속시스템공학),전기공학과,유기소재섬유공학과,65.4
494,495,눘줏쉡,72,75,59,고분자.나노공학과,기계설계공학부(기계설계공학),도시공학과,토목/환경/자원.에너지공학부(환경공학),유기소재섬유공학과,소프트웨어공학과,전자공학부,화학공학부,항공우주공학과,신소재공학부(전자재료공학),68.1
495,496,괚땆쬧,57,78,85,화학공학부,전자공학부,유기소재섬유공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),양자시스템공학과,신소재공학부(전자재료공학),신소재공학부(금속시스템공학),기계시스템공학부,산업정보시스템공학과,65.4
496,497,쨓꺖콇,72,65,96,컴퓨터인공지능학부,전기공학과,토목/환경/자원.에너지공학부(토목공학),소프트웨어공학과,토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,기계설계공학부(기계설계공학),양자시스템공학과,기계시스템공학부,도시공학과,79.19999999999999
497,498,줺왢쥩,71,66,62,기계시스템공학부,고분자.나노공학과,건축공학과,융합기술공학부(IT융합기전공학),소프트웨어공학과,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT응용시스템공학),기계공학과,도시공학과,68.3
498,499,쿲될띴,87,73,100,산업정보시스템공학과,건축공학과,전기공학과,융합기술공학부(IT융합기전공학),유기소재섬유공학과,기계설계공학부(기계설계공학),양자시스템공학과,신소재공학부(정보소재공학),신소재공학부(전자재료공학),도시공학과,90.9
